"12/21/2025","-1.09","*","","Roku for Disney Electroni816-2728107 DE"
"12/19/2025","-20.13","*","","AMAZON MKTPL*LP9520LA3 Amzn.com/billWA"
"12/19/2025","-15.22","*","","AMAZON MKTPL*189WI8M03 Amzn.com/billWA"
"12/19/2025","-11.98","*","","AMAZON PRIME*LH80Q3223 888-802-3080 WA"
"12/19/2025","-8.71","*","","Roku for RLJ Entertainmen816-2728107 DE"
"12/17/2025","-27.25","*","","NYTIMES* 800-698-4637 NY"
"12/17/2025","-11.98","*","","Roku for Peacock TV LLC 816-2728107 DE"
"12/15/2025","0.12","*","","VALUED CUSTOMER CURRENCY CONV FEE ADJUST"
"12/14/2025","-18.51","*","","The Roku Channel 816-2728107 DE"
"12/13/2025","-30.51","*","","AMAZON MKTPL*SF4Z06N83 Amzn.com/billWA"
"12/12/2025","-34.86","*","","AMAZON MKTPL*X26YN1M83 Amzn.com/billWA"
"12/12/2025","-60.00","*","","STATUSKUO.SUBSTACK.COM STATUSKUO.SUBNY"
"12/10/2025","-14.95","*","","Audible*7L9LB3143 Amzn.com/billNJ"
"12/09/2025","1356.59","*","","AUTOMATIC PAYMENT - THANK YOU"
"12/09/2025","-14.29","*","","AMAZON MKTPL*BW4WH8OR0 Amzn.com/billWA"
"12/09/2025","-30.51","*","","AMAZON MKTPL*3A3S01Z23 Amzn.com/billWA"
"12/09/2025","-22.87","*","","AMAZON MKTPL*F97Y939O3 Amzn.com/billWA"
"12/09/2025","-19.61","*","","Netflix.com 408-5403700 CA"
"12/08/2025","-21.03","*","","AMAZON MKTPL*BI1KF0SU0 Amzn.com/billWA"
"12/07/2025","-62.84","*","","AMAZON MKTPL*BI3701HC0 Amzn.com/billWA"
"12/05/2025","-13.07","*","","Roku for Hulu LLC 816-2728107 DE"
"12/04/2025","25.00","*","","BILL PAY PAYMENT"
"12/04/2025","-6.53","*","","Roku for IJFN LLC 816-2728107 DE"
"12/03/2025","-0.12","*","","FOREIGN CURRENCY CONVERSION FEE"
"12/03/2025","-4.06","*","","GEOGARAGE.COM NANTES FR"
"12/02/2025","-8.00","*","","SUPPORT_MDZ RIGA LV"
"12/02/2025","-5.45","*","","RCH-KAGI.COM KAGI.COM CA"
"12/01/2025","-4.99","*","","AUDIOBOOKSNOW 888-525-6293 VA"
"11/28/2025","-231.08","*","","PUBLIX #1646 CHARLESTON SC"
"11/26/2025","-49.44","*","","UNITED 0164349076718UNITED.COM TX"
"11/26/2025","-50.00","*","","Amazon.com*B26SU5M80 Amzn.com/billWA"
"11/25/2025","-90.00","*","","COSMOGRAPHIA LIGHTWATER GB"
"11/21/2025","-54.99","*","","AMAZON MKTPL*B04O63MF0 Amzn.com/billWA"
"11/21/2025","-1.10","*","","Roku for Disney Electroni816-2728107 DE"
"11/19/2025","-11.98","*","","AMAZON PRIME*B00XG00P1 888-802-3080 WA"
"11/19/2025","-27.25","*","","NYTIMES* 800-698-4637 NY"
"11/19/2025","-39.98","*","","AMAZON MKTPL*B08G48VJ1 Amzn.com/billWA"
"11/19/2025","-8.71","*","","Roku for RLJ Entertainmen816-2728107 DE"
"11/18/2025","-45.33","*","","Whole Foods CHL 10201 866-216-1072 DE"
"11/17/2025","-11.98","*","","Roku for Peacock TV LLC 816-2728107 DE"
"11/15/2025","-18.51","*","","The Roku Channel 816-2728107 DE"
"11/10/2025","-14.95","*","","Audible*BT0MC8WH1 Amzn.com/billNJ"
"11/09/2025","810.32","*","","AUTOMATIC PAYMENT - THANK YOU"
